0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:01:45 +0530] "GET /ArdentFinalProject/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 8916
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:08:06 +0530] "GET /ArdentFinalProject/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:12:50 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:19:24 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:19:25 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:45:32 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:45:32 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:45:42 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:12 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:46:15 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:51:08 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:53:40 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:00 +0530] "GET /ArdentFinalProject/index.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:48 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:48 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:48 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:48 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:54:48 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:57:31 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:57:31 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:57:31 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:57:31 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:57:31 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:58:13 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8437
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:58:13 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:19:58:13 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
